Priority,Name,Firm,Current Score,Tier,Type,Potential Gain,Missing Fields
1,"WYVC","",3.2,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
2,"Thrive Holdings","",3.2,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
3,"Listen Ventures","",3.2,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
4,"IPO CLUB’s Fund II America 2030","",3.2,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
5,"Visionari","Visionari",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
6,"Osney Capital","Osney Capital",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
7,"names like the Collison brothers","names like the Collison brothers",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
8,"Former Founders Fund","Former Founders Fund",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
9,"Overmatch Ventures","Overmatch Ventures",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
10,"Seventure Partners","Seventure Partners",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
11,"InterVest","InterVest",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
12,"Fountain Healthcare Partners","Fountain Healthcare Partners",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
13,"WestBridge Capital  Entrackr","WestBridge Capital  Entrackr",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
14,"Gemma Frisius Fund","Gemma Frisius Fund",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
15,"Gresham House Ventures  UK Tech Investment News","Gresham House Ventures  UK Tech Investment News",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
16,"Innovative Technology Fund","Innovative Technology Fund",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
17,"Kaiser Permanente Ventures","Kaiser Permanente Ventures",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
18,"Funding  Mercom Capital","Funding  Mercom Capital",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
19,"Playfair","Playfair",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
20,"Perry Creek Capital","Perry Creek Capital",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
21,"Taisu Ventures","Taisu Ventures",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
22,"Incharge Capital","Incharge Capital",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
23,"Peak XV Partners  The Economic Times","Peak XV Partners  The Economic Times",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
24,"Prologis Might Fund","Prologis Might Fund",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
25,"Venturi Partners  The Economic Times","Venturi Partners  The Economic Times",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
26,"Kalaari Capital  MarcaMoney","Kalaari Capital  MarcaMoney",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
27,"Bay Bridge Ventures","Bay Bridge Ventures",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
28,"Flybridge Capital Partners","Flybridge Capital Partners",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
29,"Lazard Elaia Capital","Lazard Elaia Capital",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
30,"Boston Seed","Boston Seed",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
31,"Accelerate Venture Partners","Accelerate Venture Partners",3.4,solid,VC,+4.0,"fund_size, total_investments, exits, thesis, bio, sectors, check_size, geography, notable_investments"
