Name,Firm,Score,Tier,Type,Fund Size,Investments,Exits,Sectors,Geography
"Josh Kopelman","First Round Capital",8.9,elite,VC Firm,1000000000,150,75,"AI/ML; Technology","US"
"Niko Bonatsos","General Catalyst",8.6,elite,VC,25000000000,150,25,"AI/ML; API; Defense; Fintech; SaaS","US; Global"
"Michael Seibel","Y Combinator",8.6,elite,Accelerator,5000000000,150,200,"Consumer; Fintech; Healthcare; SaaS; Tech","US; Global"
"Bill Gurley","Benchmark",8.5,elite,VC,3000000000,35,15,"consumer; Enterprise; infrastructure; marketplace; saas","US"
"Roelof Botha","Sequoia Capital",8.3,elite,VC Firm,85000000000,150,45,"AI/ML; Consumer; Enterprise; Fintech; SaaS","US; Global"
"Neil Shen","Sequoia Capital China",8.3,elite,VC Firm,85000000000,200,50,"ai; AI/ML; consumer; enterprise; fintech; SaaS","US; Global"
"Ash Fontana","Zetta Venture Partners",8.2,elite,VC Firm,,150,10,"AI/ML; Fintech; SaaS","United States"
"Kirby Winfield","Ascend",8.1,elite,VC,,150,8,"AI/ML; Fintech; SaaS","United States"
"Mary D'Onofrio","Bessemer Venture Partners",8.1,elite,VC Firm,6500000000,25,8,"fintech; healthcare; saas","US; Global"
"Sofina","",8,elite,VC,11000000000,200,40,"Consumer; Digital Platforms; Healthcare","Europe; US; Asia"
"WestBridge Capital","",8,elite,VC,7000000000,150,30,"Consumer; Financial Services; Tech-enabled Services","India; South Asia"
"Blue Venture Fund","Blue Venture Fund",8,elite,VC,900000000,60,10,"Healthcare; Health IT; Digital Health","US"
"Foresite Capital","",8,elite,VC,4000000000,150,25,"Biotech; Healthcare; Life Sciences","US"
"Matt Harris","Bain Capital Ventures",7.9,elite,VC Firm,,150,15,"Fintech; SaaS","United States"
"Lainy Painter Singh","Craft Ventures",7.9,elite,VC Firm,,150,18,"AI/ML; API; SaaS","United States"
"Peter Thiel","Founders Fund",7.9,elite,VC Firm,11000000000,150,35,"AI/ML; Consumer Internet; DeepTech; Defense; Fintech; Healthcare; Space; SpaceTech; Technology","US"
"Peterson Ventures","",7.9,elite,VC,300000000,120,20,"SaaS; Enterprise Software; Vertical Software","US"
"Rebecca Kaden","Union Square Ventures",7.9,elite,VC Firm,2000000000,30,10,"consumer; healthcare; marketplace; social","US"
"Mary Meeker","Bond Capital",7.9,elite,VC Firm,,150,25,"Consumer; Internet; Technology","United States"
"Byron Deeter","Bessemer Venture Partners",7.9,elite,VC Firm,6500000000,150,22,"AI/ML; Cloud Computing; Communications; Defense; E-commerce; SaaS; SpaceTech","US; Global"
"Sofinnova Partners","Sofinnova Partners",7.9,elite,VC,4000000000,500,100,"Biotech; Medtech; Healthcare","Europe; US"
"Kirsten Green","Forerunner Ventures",7.9,elite,VC Firm,,150,18,"Consumer","United States"
"Alfred Lin","Sequoia Capital",7.9,elite,VC Firm,85000000000,150,22,"AI/ML; Consumer; E-commerce; Enterprise; Finance; Fintech; Food Delivery; Home Services; SaaS; Technology","US; Global"
"Luisa Sucre","Collaborative Fund",7.8,elite,VC Firm,,35,10,"Fintech","New York, NY"
"Parul Singh","Initialized",7.8,elite,VC,700000000,50,0,"AI/ML; Fintech; SaaS","US"
"CommerzVentures","",7.8,elite,VC,550000000,70,10,"Fintech; Insurtech; Regtech","Europe; US; Israel"
"Yuri Milner","DST Global",7.8,elite,VC,,40,15,"consumer; fintech; marketplace; social","Global"
"Sarah Johnson","Y Combinator",7.7,elite,Accelerator,5000000000,150,0,"AI/ML; Fintech; SaaS","US; Global"
"Renaud Laplanche","Upgrade",7.7,elite,VC,,25,8,"fintech; lending; payments","United States"
"Boulder Ventures","",7.7,elite,VC,200000000,90,15,"Biotech; Healthcare; Life Sciences","US"
"Alpha Star Capital","",7.7,elite,VC,150000000,70,10,"SaaS; Fintech; AI","US; Europe; Middle East"
"Michael Chen","Andreessen Horowitz",7.7,elite,VC,35000000000,150,0,"AI/ML; Fintech; SaaS","US; Global"
"Paige Craig","Arena Ventures",7.6,elite,VC Firm,,500,80,"consumer; fintech; marketplace; saas","United States; Latin America"
"Blue Cloud Ventures","",7.6,elite,VC,400000000,100,15,"SaaS; Cloud; Data/AI","US"
"Tiffany Luck","GGV Capital",7.5,elite,VC Firm,8000000000,50,0,"AI/ML; Fintech; SaaS","US; Europe"
"Y Combinator","Y Combinator",7.5,elite,Accelerator,5000000000,50,0,"AI/ML; Fintech; SaaS","US; Global"
"Bessemer Venture (Bvp)","Bessemer Venture Partners",7.5,elite,VC Firm,6500000000,50,0,"AI/ML; Healthcare; SaaS","US; Global"
"DST Global Partners","",7.5,elite,VC,8000000000,75,15,"Internet; Consumer Tech; Software; AI","Global"
"teamView allAbdul Ly (Initialized)","Initialized Capital",7.5,elite,VC Firm,700000000,50,0,"AI/ML; Fintech; SaaS","US"
"First Round","First Round Capital",7.5,elite,VC Firm,1000000000,50,0,"AI/ML; Healthtech; SaaS","US"
"Tomasz Tunguz","Theory Ventures",7.5,elite,VC Firm,,45,12,"ai; data; developer_tools; infrastructure","United States"
"Startup Lessons for (A16z)","Andreessen Horowitz",7.5,elite,VC,35000000000,50,0,"AI/ML; Crypto/Web3; Defense; Fintech; Robotics; SaaS","US; Global"
"Samaipata","",7.4,elite,VC,325000000,70,10,"Marketplaces; Fintech; SaaS; Consumer Tech","Europe"
"Peak XV","",7.4,elite,VC,9000000000,400,80,"Fintech; Consumer Tech; SaaS; AI","India; Southeast Asia"
"Stephanie Zhan","Sequoia",7.4,elite,VC,85000000000,150,0,"Consumer; Enterprise","US; Global"
"Seema Amble","Andreessen Horowitz",7.4,elite,VC,35000000000,30,8,"AI/ML; Creator Economy; Crypto/Web3; Defense; Fintech; PropTech; Robotics; SaaS; Supply Chain","US; Global"
"Ruchi Sanghvi","South Park Commons",7.4,elite,VC,,40,8,"ai; developer_tools; enterprise; infrastructure","United States"
"GV (Google Ventures)","",7.4,elite,VC,10000000000,400,80,"AI; Enterprise Software; Healthcare; Consumer Tech; Climate Tech","US; Europe; Global"
"Plug and Play Ventures","",7.4,elite,VC,2000000000,1000,100,"Fintech; Enterprise; Insurtech; Mobility; AI","Global"
"Sarah Guo","Conviction",7.4,elite,VC,,25,5,"ai; developer_tools; infrastructure; saas","United States"
"New Enterprise Associates (NEA)","New Enterprise Associates",7.4,elite,VC,25000000000,150,0,"AI/ML; Consumer; Fintech; Healthcare; HealthTech; SaaS","US; Global"
"Advance Venture Partners","",7.3,elite,VC,300000000,50,8,"Consumer; Ecommerce; Digital Brands","US"
"TIBAS Ventures","",7.3,elite,VC,125000000,50,7,"SaaS; Vertical Software; Tech Platforms","US"
"Arjun Sethi","Tribe Capital",7.2,elite,VC Firm,,40,12,"ai; consumer; fintech; saas","United States; Global"
"Chris Saccheri","G2 Venture Partners",7.1,elite,VC Firm,,25,7,"agriculture; climate_tech; food_tech; sustainability","United States"
"Joshua Schachter","Joshua Schachter Angel",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Immad Akhund","Mercury",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Rico Mallozzi","Sapphire Sport",7.1,elite,VC,,50,0,"AI/ML; Healthcare; SaaS","US"
"Sam Campbell","Samsung Next",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Lince Capital","",7.1,elite,VC,75000000,60,8,"SaaS; Fintech; Digital Platforms","Portugal; Spain"
"Mallun Yen","Operator Collective",7.1,elite,VC,,50,0,"AI/ML; Healthcare; SaaS","US"
"Qasar Younis","Applied Intuition",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Justin Olshavsky","Voyage Bio",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Nicole Williams Ruiz","Compound",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Promise Phelon","Promise Phelon GP",7.1,elite,VC,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"Jake Zeller","Jonathan Swanson & Jake Zeller",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"James Beshara","James Beshara Angel",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
