Name,GOD Score,Team,Traction,Market,Product,Vision,Status,Stage,Raise,Sectors,Location
"Flatpay",100,43,100,54,90,47,approved,4,"","Fintech; B2B SaaS",""
"Housetrak",97,68,52,54,100,73,approved,2,"","Proptech; B2B SaaS",""
"Nango",97,68,48,54,100,77,approved,2,"","DevTools; B2B SaaS",""
"Eternal",96,68,48,54,100,74,approved,2,"","AI/ML; Consumer",""
"Alt-qq",96,43,80,54,100,69,approved,3,"","AI/ML; Media; B2B SaaS",""
"Shipshared",94,68,38,54,100,54,approved,2,"","Marketplace; B2B SaaS",""
"Checkr",94,68,60,54,100,65,approved,1,"","HealthTech; AI/ML; E-Commerce",""
"Opengenepool",93,68,33,54,100,65,approved,2,"","Healthtech; B2B SaaS",""
"Shockwave",93,55,100,50,82,62,approved,1,"","AI/ML","revenue"
"Upscale AI",93,68,33,54,100,82,approved,3,"","AI/ML; Networking; Infrastructure",""
"Kanu AI",93,80,62,50,100,56,approved,1,"","AI/ML","San Francisco, USA"
"Ultra",92,43,48,54,100,65,approved,2,"","B2B SaaS; Consumer; DevTools",""
"Powerapply",92,68,33,54,100,62,approved,2,"","AI/ML; B2B SaaS",""
"Aircall",91,43,83,54,95,62,approved,4,"","B2B SaaS; Telecommunications",""
"Agileday",91,43,57,60,95,69,approved,3,"","AI/ML; B2B SaaS",""
"Smile",91,63,58,50,90,84,approved,1,"","AI/ML; Marketplace; SaaS","San Francisco, CA"
"Zero Billion",91,55,100,50,82,54,approved,1,"","AI/ML","San Francisco, USA"
"Intersect Power",91,68,55,50,100,73,approved,1,"","CleanTech; Developer Tools","Clean energy, de"
"Syneron Bio",91,68,55,50,87,53,approved,2,"","climate tech; Developer Tools; healthcare","Beijing, Ch"
"Fracttal",91,43,65,54,100,88,approved,4,"","AI/ML; B2B SaaS; IoT",""
"Wing Ventures",90,43,83,54,90,62,approved,1,"","AI/ML; Enterprise",""
"HumanX",90,68,33,54,100,80,approved,1,"","AI/ML; Conferences",""
"Soldera",90,43,90,54,90,69,approved,1,"","Cleantech; AI/ML",""
"Deepgram",89,68,67,49,95,49,approved,2,"","AI/ML; Developer Tools","Power enterprise, vo"
